velocidad_bala,distancia_bala1,bala2_y,distancia_bala2,mov_derecha,accion
-3,163,366,24,0,0
-3,163,369,21,0,0
-3,163,372,18,0,0
-3,163,375,15,0,0
-3,163,378,12,0,0
-3,163,381,9,0,0
-3,163,384,6,0,0
-3,163,387,3,0,0
-3,163,390,0,0,0
-3,160,393,0,0,0
-3,157,396,0,0,0
-3,154,399,0,0,0
-3,151,0,0,0,0
-3,148,3,0,0,0
-3,145,6,0,0,0
-3,142,9,0,0,0
-3,139,12,0,0,0
-3,136,15,0,0,0
-3,133,18,0,0,0
-3,130,21,0,0,0
-3,127,24,0,0,0
-3,124,27,0,0,0
-3,121,30,0,0,0
-3,118,33,0,0,0
-3,115,36,0,0,0
-3,112,39,0,0,0
-3,109,42,0,0,0
-3,106,45,0,0,0
-3,103,48,0,0,0
-3,100,51,0,0,0
-3,97,54,0,0,0
-3,94,57,0,0,0
-3,91,60,0,0,0
-3,88,63,0,0,0
-3,85,66,0,0,0
-3,82,69,0,0,0
-3,79,72,0,0,0
-3,76,75,0,0,0
-3,73,78,0,0,0
-3,70,81,0,0,0
-3,67,84,0,0,0
-3,64,87,0,0,1
-3,61,90,0,0,1
-3,58,93,0,0,1
-3,55,96,0,0,1
-3,52,99,0,0,1
-3,49,102,0,0,1
-3,46,105,0,0,1
-3,43,108,0,0,1
-3,40,111,0,0,1
-3,37,114,0,0,1
-3,34,117,0,0,1
-3,31,120,0,0,1
-3,28,123,0,0,1
-3,25,126,0,0,1
-3,22,129,0,0,1
-3,19,132,0,0,1
-3,16,135,0,0,1
-3,13,138,0,0,1
-3,10,141,0,0,1
-3,7,144,0,0,1
-3,4,147,0,0,1
-3,1,150,0,0,1
-3,2,153,0,0,1
-3,5,156,0,0,1
-3,8,159,0,0,1
-3,11,162,0,0,1
-3,14,165,0,0,1
-3,17,168,0,0,1
-3,20,171,0,0,1
-3,23,174,0,0,1
-3,26,177,0,0,0
-3,29,180,0,0,0
-3,32,183,0,0,0
-3,35,186,0,0,0
-3,38,189,0,0,0
-3,41,192,0,0,0
-3,44,195,0,0,0
-3,47,198,0,0,0
-3,50,201,0,0,0
-7,700,204,0,0,0
-7,693,207,0,0,0
-7,686,210,0,0,0
-7,679,213,0,0,0
-7,672,216,0,0,0
-7,665,219,0,0,0
-7,658,222,0,0,0
-7,651,225,0,0,0
-7,644,228,0,0,0
-7,637,231,0,0,0
-7,630,234,0,0,0
-7,623,237,0,0,0
-7,616,240,0,0,0
-7,609,243,0,0,0
-7,602,246,0,0,0
-7,595,249,0,0,0
-7,585,252,3,1,2
-7,575,255,6,1,2
-7,565,258,9,1,2
-7,555,261,12,1,2
-7,545,264,15,1,2
-7,535,267,18,1,2
-7,525,270,21,1,2
-7,515,273,24,1,2
-7,505,276,27,1,2
-7,495,279,30,1,2
-7,488,282,30,1,2
-7,481,285,30,1,2
-7,474,288,30,1,2
-7,467,291,30,1,2
-7,460,294,30,1,2
-7,453,297,30,1,2
-7,446,300,30,1,2
-7,439,303,30,1,2
-7,432,306,30,1,2
-7,425,309,30,1,2
-7,418,312,30,1,2
-7,411,315,30,1,2
-7,404,318,30,1,2
-7,397,321,30,1,2
-7,390,324,30,1,2
-7,383,327,30,1,2
-7,376,330,30,1,2
-7,369,333,30,1,2
-7,362,336,30,1,2
-7,355,339,30,1,2
-7,348,342,30,1,2
-7,341,345,30,1,2
-7,334,348,30,1,2
-7,327,351,30,1,2
-7,323,354,27,0,0
-7,319,357,24,0,0
-7,315,360,21,0,0
-7,311,363,18,0,0
-7,307,366,15,0,0
-7,303,369,12,0,0
-7,299,372,9,0,0
-7,295,375,6,0,0
-7,291,378,3,0,0
-7,287,381,0,0,0
-7,280,384,0,0,0
-7,273,387,0,0,0
-7,266,390,0,0,0
-7,259,393,0,0,0
-7,252,396,0,0,0
-7,245,399,0,0,0
-7,238,0,0,0,0
-7,231,3,0,0,0
-7,224,6,0,0,0
-7,217,9,0,0,0
-7,210,12,0,0,0
-7,203,15,0,0,0
-7,196,18,0,0,0
-7,189,21,0,0,0
-7,182,24,0,0,0
-7,175,27,0,0,0
-7,168,30,0,0,0
-7,161,33,0,0,0
-7,154,36,0,0,0
-7,147,39,0,0,0
-7,140,42,0,0,0
-7,133,45,0,0,0
-7,126,48,0,0,0
-7,119,51,0,0,1
-7,112,54,0,0,1
-7,105,57,0,0,1
-7,98,60,0,0,1
-7,91,63,0,0,1
-7,84,66,0,0,1
-7,77,69,0,0,1
-7,70,72,0,0,1
-7,63,75,0,0,1
-7,56,78,0,0,1
-7,49,81,0,0,1
-7,42,84,0,0,1
-7,35,87,0,0,1
-7,28,90,0,0,1
-7,21,93,0,0,1
-7,14,96,0,0,1
-7,7,99,0,0,1
-7,0,102,0,0,1
-7,7,105,0,0,1
-7,14,108,0,0,1
-7,21,111,0,0,1
-7,28,114,0,0,1
-7,35,117,0,0,1
-7,42,120,0,0,1
-7,49,123,0,0,1
-7,700,126,0,0,1
-7,693,129,0,0,1
-7,686,132,0,0,1
-7,679,135,0,0,1
-7,672,138,0,0,1
-7,665,141,0,0,0
-7,658,144,0,0,0
-7,651,147,0,0,0
-7,644,150,0,0,0
